equipamento,data_instalacao,data_falha,horas_operacao,tipo_falha,severidade,custo_reparo
bomba_01,2023-01-15,2023-06-20,3600,mecanica,alta,15000
bomba_02,2023-01-15,2023-08-10,4200,eletrica,media,8000
bomba_03,2023-02-01,2023-09-15,5100,mecanica,baixa,3500
bomba_04,2023-02-01,,6000,NA,NA,NA
bomba_05,2023-03-10,2023-10-25,5800,hidraulica,alta,12000
bomba_06,2023-03-10,2023-11-05,6100,mecanica,media,7500
bomba_07,2023-04-20,2024-01-12,6800,eletrica,alta,14000
bomba_08,2023-04-20,,7200,NA,NA,NA
bomba_09,2023-05-15,2024-02-28,7500,mecanica,baixa,4000
bomba_10,2023-05-15,2024-03-20,7800,hidraulica,media,9000
